model,na,nb,nk,alpha,output_memory_seconds,input_delay_seconds,input_memory_seconds,n_input_cols,n_params,val_FIT_1step,val_FIT_free_run,val_RMSE_free_run
ARX_na72_nb12_nk4_alpha10,72,12,4,10.0,360,20,60,16,265,95.32778083857501,76.7293068149625,0.13113421109786796
ARX_na96_nb12_nk4_alpha10,96,12,4,10.0,480,20,60,16,289,95.32938041169932,76.70235973030346,0.131330725341286
ARX_na144_nb12_nk4_alpha10,144,12,4,10.0,720,20,60,16,337,95.33465061577752,76.5639340142205,0.13220188270927183
ARX_na144_nb16_nk4_alpha100,144,16,4,100.0,720,20,80,16,401,95.20640777048223,76.45084325099575,0.1328398230455216
ARX_na96_nb16_nk2_alpha10,96,16,2,10.0,480,10,80,16,353,95.33158349172524,76.40254628113262,0.13302079855431848
ARX_na72_nb8_nk4_alpha10,72,8,4,10.0,360,20,40,16,201,95.3147230398762,76.35454206004229,0.13324607257500465
ARX_na144_nb16_nk2_alpha10,144,16,2,10.0,720,10,80,16,401,95.33688112792365,76.29594532242116,0.13371359587914267
ARX_na24_nb4_nk2_alpha10,24,4,2,10.0,120,10,20,16,89,95.27448981286514,75.81779470731753,0.13617709926185023
ARX_na8_nb1_nk1_alpha1,8,1,1,1.0,40,5,5,16,25,95.20473175957267,74.86588980919524,0.141504893780611
ARX_na8_nb4_nk8_alpha100,8,4,8,100.0,40,40,20,16,73,95.07893705899096,74.17876735194514,0.1453796981523867
ARX_na8_nb2_nk1_alpha1,8,2,1,1.0,40,5,10,16,41,95.21005568523022,73.94907141353985,0.14666657600084684
ARX_na8_nb4_nk12_alpha1,8,4,12,1.0,40,60,20,16,73,95.20557143145818,72.41825978489219,0.15530070755814268
