label,n_inputs,input_cols,best_alpha,rank,n_params,condition_number_xtx,theta_l2,val_FIT_1step,val_FIT_12step,val_FIT_sim,val_RMSE_sim,test_FIT_1step,test_FIT_12step,test_FIT_sim,test_RMSE_sim,gain_val_FIT_sim_vs_baseline,gain_test_FIT_sim_vs_baseline
Baseline: 6 raw inputs,6,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan')",100.0,12,12,1771.1463388875009,1.006291061502453,85.8350395839504,66.61612170031046,54.005946520469806,1.3808807107590704,85.26055642700031,57.78668551264418,30.26286173034809,2.0313530730068825,0.0,0.0
+ only Light_log,7,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'Light_log')",100.0,13,13,1776.1413510974603,1.0061596560600548,85.83444915825751,66.60131517282224,54.00600776767212,1.3808788719326595,85.25955856898744,57.77205305167965,30.354131296065855,2.028694508038588,6.124720231781566e-05,0.09126956571776645
+ only Temp_x_Humi,7,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'Temp_x_Humi')",100.0,13,13,3203.5670082368442,1.0063789259654186,85.83507319326725,66.6158901561838,53.999563850579655,1.3810723378296952,85.26136101957326,57.81213977032391,30.33169634097701,2.029348009402327,-0.006382669890150794,0.06883461062892238
+ only Temp_x_Light,7,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'Temp_x_Light')",100.0,13,13,1780.0714003150367,1.0061370527411222,85.83449992232829,66.59838937497011,54.010984486478165,1.3807294557694336,85.25944967244452,57.76780111920079,30.36085753230391,2.0284985814349024,0.0050379660083592626,0.0979958019558218
+ only Humi_x_Light,7,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'Humi_x_Light')",100.0,13,13,1773.8467763543235,1.0061675167576718,85.83489795704511,66.60659053293585,54.017945432190295,1.3805204671081752,85.259967408153,57.78235457146761,30.39124320043506,2.027613486034301,0.011998911720489502,0.1283814700869712
+ only SP_Center,7,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'SP_Center')",0.0,13,13,1942.524917458699,1.0737990004419544,86.29785296623757,69.8167571173366,68.85708200641226,0.9350046686630099,85.84754741743595,67.14386197197452,66.39144509702034,0.9789739438046061,14.85113548594245,36.128583366672245
+ only SP_Width,7,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'SP_Width')",100.0,12,13,inf,1.0062910615024518,85.83503958395059,66.6161217003081,54.00594652046959,1.3808807107590764,85.2605564270001,57.786685512635025,30.262861730340738,2.031353073007096,-2.1316282072803006e-13,-7.350564601438236e-12
+ only Month_sin,7,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'Month_sin')",100.0,13,13,1865.7481642184352,1.0031184862906335,84.78798482611967,42.055920808214964,10.053321999695441,2.7004715447129684,83.7513419888118,29.14717269237127,-18.12149379100909,3.440727069595702,-43.952624520774364,-48.38435552135718
+ only Month_cos,7,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'Month_cos')",0.0,13,13,1921.691031044875,1.0734103018897534,86.04683905103414,64.6627919877524,58.11401576459193,1.2575440368084798,85.66153268563777,63.384100549970746,58.259312427602794,1.2158525008834216,4.108069244122127,27.996450697254705
+ only Season_sin,7,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'Season_sin')",0.0,13,13,1922.3745414665834,1.0734185011446646,86.16618931566443,67.61776872950854,63.855321314701555,1.0851726650995528,85.44066834045432,58.26969272759105,48.22456731169365,1.5081517095091588,9.84937479423175,17.96170558134556
+ only Season_cos,7,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'Season_cos')",100.0,13,13,1771.3808365724483,1.0062893530795018,85.83188369776089,66.5176314180162,53.67310749994532,1.3908735456683647,85.24531112136194,57.400692132587004,29.18831197375823,2.0626533242690925,-0.33283902052448866,-1.0745497565898603
Full: raw + all engineered,16,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'Light_log', 'Temp_x_Humi', 'Temp_x_Light', 'Humi_x_Light', 'SP_Center', 'SP_Width', 'Month_sin', 'Month_cos', 'Season_sin', 'Season_cos')",0.0,21,22,3.7396485752507904e+18,1.0737527489617702,86.29823048184699,69.80509948963034,68.84107198659018,0.9354853379208526,85.84919283120026,67.16010134795975,66.41757488973361,0.9782128165768166,14.835125466120374,36.15471315938552
