input_set,model,na,nb,nk,alpha,physical_memory_seconds,input_delay_seconds,input_memory_seconds,n_input_cols,n_params,val_FIT_1step,val_FIT_sim,val_block_FIT_sim,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_robust_score
inside_only,ARX_na12_nb3_nk2_alpha0.1,12,3,2,0.1,240,40,60,17,64,95.31928364945644,79.0831507755207,"[79.3050086584619, 70.48130561262573, 81.25750315550808, 78.22410577024364]",77.31698079920983,4.093571245844003,75.27019517628783
inside_only,ARX_na12_nb3_nk2_alpha1,12,3,2,1.0,240,40,60,17,64,95.31785917026434,78.62737050712755,"[78.14019250491239, 70.5363611070017, 80.99355601353979, 78.23007084176406]",76.97504511680448,3.890300104477657,75.02989506456565
inside_only,ARX_na12_nb3_nk2_alpha10,12,3,2,10.0,240,40,60,17,64,95.28406100546613,78.2916055113881,"[77.3171642484882, 70.28677871822282, 80.81963870452971, 77.9829458680394]",76.60163188482004,3.875853677917101,74.66370504586149
inside_only,ARX_na12_nb6_nk1_alpha10,12,6,1,10.0,240,20,120,17,115,95.44428618865814,80.10208728700208,"[86.02607367713223, 65.31452891240129, 83.47647886073085, 78.44557038108333]",78.31566295783692,7.9864074628362625,74.32245922641879
inside_only,ARX_na18_nb6_nk1_alpha10,18,6,1,10.0,360,20,120,17,121,95.44878199382428,79.9181930661788,"[85.35884937403065, 65.92177768121414, 81.91898569986189, 78.3493813403481]",77.88724852386369,7.339376389498464,74.21756032911446
inside_only,ARX_na24_nb6_nk1_alpha10,24,6,1,10.0,480,20,120,17,127,95.45041508895547,79.93686220582217,"[85.63436342737786, 65.8364808280713, 81.65376795043694, 78.35893395207027]",77.87088653948909,7.410244197427137,74.16576444077552
inside_only,ARX_na24_nb6_nk3_alpha10,24,6,3,10.0,480,60,120,17,127,95.52642098682965,80.1490431644887,"[85.4359528151712, 64.87096899282268, 82.23445607503004, 79.69847130375823]",78.05996229669555,7.88140042393839,74.11926208472634
inside_only,ARX_na12_nb6_nk3_alpha10,12,6,3,10.0,240,60,120,17,115,95.52017526551555,80.09416400459423,"[85.45883056935611, 64.48838838129565, 83.02214781227138, 79.69354809086911]",78.16572871344806,8.157481409044273,74.08698800892593
inside_only,ARX_na24_nb6_nk3_alpha1,24,6,3,1.0,480,60,120,17,127,95.55104588578071,80.18826251928212,"[86.037622507027, 64.48688511619606, 82.44935989203265, 79.63889202873564]",78.15318988599783,8.209697792768383,74.04834098961364
inside_only,ARX_na18_nb3_nk2_alpha0.1,18,3,2,0.1,360,40,60,17,70,95.32142892315815,76.96565309731676,"[77.27831232208973, 69.21831426299728, 78.84433181137493, 78.81924964682726]",76.04005201082231,3.989276851708963,74.04541358496783
inside_only,ARX_na18_nb6_nk3_alpha10,18,6,3,10.0,360,60,120,17,121,95.52480732303525,80.07981323596984,"[85.20491403053524, 64.62660987047687, 82.56353274598894, 79.70477968924357]",78.02495908406115,7.9763394303541935,74.03678936888406
inside_only,ARX_na12_nb6_nk1_alpha1,12,6,1,1.0,240,20,120,17,115,95.47146109294017,80.02467117929213,"[86.69941106944552, 64.52672394143993, 83.73674973344546, 78.09760685139437]",78.26512289893132,8.51245535525494,74.00889522130386
inside_only,ARX_na24_nb6_nk3_alpha0.1,24,6,3,0.1,480,60,120,17,127,95.5516780828993,80.18860329155746,"[86.26580730485324, 64.32145893893549, 82.5458781772385, 79.58552822619342]",78.17966816180517,8.343797719340344,74.00776930213499
inside_only,ARX_na24_nb6_nk1_alpha1,24,6,1,1.0,480,20,120,17,127,95.47695267832822,80.13609840721601,"[87.0806697936963, 65.17000598385481, 81.99119514476502, 77.93855119573993]",78.04510552951402,8.108523092407761,73.99084398331014
inside_only,ARX_na18_nb6_nk1_alpha1,18,6,1,1.0,360,20,120,17,121,95.47519336826853,80.05268456618518,"[86.62111819069999, 65.22889410216469, 82.14730409127868, 77.91587373154282]",77.97829752892154,7.978567371046633,73.98901384339823
inside_only,ARX_na24_nb6_nk1_alpha0.1,24,6,1,0.1,480,20,120,17,127,95.47791633091724,80.20776935419929,"[87.5513004852459, 64.90817127872542, 82.24054130689188, 77.8185251524891]",78.12963455583808,8.375130199735922,73.94206945597011
inside_only,ARX_na18_nb6_nk3_alpha1,18,6,3,1.0,360,60,120,17,121,95.54933770781425,80.08316133587614,"[85.6588593817843, 64.26468094635598, 82.66648205613807, 79.65410013383914]",78.06103062952937,8.243396138992168,73.93933256003328
inside_only,ARX_na18_nb6_nk1_alpha0.1,18,6,1,0.1,360,20,120,17,121,95.47614594922234,80.10804504255056,"[87.04004449263509, 64.94537373326297, 82.37997982409107, 77.791485698249]",78.03922093705953,8.236613681284116,73.92091409641746
inside_only,ARX_na12_nb6_nk3_alpha1,12,6,3,1.0,240,60,120,17,115,95.54502854703084,79.99255559734704,"[85.89861323116779, 63.91688331197258, 83.29532919572054, 79.63187772485632]",78.18567586592931,8.533579271257654,73.91888623030049
inside_only,ARX_na12_nb3_nk3_alpha0.1,12,3,3,0.1,240,60,60,17,64,95.40056019746133,76.74484618687994,"[73.36626024214495, 71.26544535769743, 81.01493315418602, 77.45882789296033]",75.77636666174718,3.7560044813397147,73.89836442107732
inside_only,ARX_na18_nb6_nk3_alpha0.1,18,6,3,0.1,360,60,120,17,121,95.54996527193074,80.07472880902017,"[85.85364100884412, 64.09868041519414, 82.74459838074156, 79.60253396313453]",78.07486344197858,8.366350369971077,73.89168825699304
inside_only,ARX_na12_nb6_nk1_alpha0.1,12,6,1,0.1,240,20,120,17,115,95.47251534103125,79.93832034273336,"[86.80506795294549, 64.20853018273507, 83.89044226848841, 77.99325691592912]",78.22432433002453,8.692380734642423,73.87813396270332
inside_only,ARX_na12_nb6_nk3_alpha0.1,12,6,3,0.1,240,60,120,17,115,95.5457331936793,79.94180787656802,"[86.03504750425603, 63.72002438850485, 83.37305965295101, 79.57804868106885]",78.17654505669518,8.656139828271701,73.84847514255932
inside_only,ARX_na24_nb3_nk2_alpha0.1,24,3,2,0.1,480,40,60,17,76,95.32336070799747,77.15135486407702,"[77.9790661375811, 68.20311750735407, 78.73953252602742, 78.79616723581415]",75.92947085169418,4.472464969393517,73.69323836699742
inside_only,ARX_na12_nb6_nk2_alpha10,12,6,2,10.0,240,40,120,17,115,95.48672734447908,79.82884090018747,"[84.66018422601319, 64.25101271500208, 82.37880543992944, 79.19119681103166]",77.62029979799408,7.959411147145619,73.64059422442126
inside_only,ARX_na18_nb3_nk2_alpha1,18,3,2,1.0,360,40,60,17,70,95.32006110261561,76.24631734456688,"[75.74476014973457, 69.17454036545259, 78.47499121930532, 78.8834649775661]",75.56943917801465,3.884278180395091,73.6273000878171
inside_only,ARX_na12_nb3_nk3_alpha1,12,3,3,1.0,240,60,60,17,64,95.39964820513389,76.23984588461069,"[72.04800748768156, 71.30398728104683, 80.88998891429212, 77.49466887201277]",75.43416313875832,3.9539891716687636,73.45716855292395
inside_only,ARX_na12_nb6_nk2_alpha1,12,6,2,1.0,240,40,120,17,115,95.51356232609605,79.8800482921412,"[85.46560151997318, 63.485133379659864, 82.43065148847965, 79.12443068188925]",77.62645426750048,8.466897755006798,73.39300538999709
inside_only,ARX_na18_nb6_nk2_alpha10,18,6,2,10.0,360,40,120,17,121,95.49131587345003,79.16873247253596,"[83.30852117285774, 64.69481836119269, 80.81402641228249, 79.14801467079864]",76.9913451542829,7.2521617367956575,73.36526428588506
inside_only,ARX_na18_nb3_nk2_alpha10,18,3,2,10.0,360,40,60,17,70,95.28679065942787,76.03020390775639,"[75.06238858530355, 68.99195601592768, 78.46537513510373, 78.64319398479451]",75.29072843028237,3.9065355497954957,73.33746065538462
inside_only,ARX_na12_nb6_nk2_alpha0.1,12,6,2,0.1,240,40,120,17,115,95.51444227545744,79.90210345759041,"[85.80297785145434, 63.20009234623092, 82.53346842227538, 79.07790378544283]",77.65361060135086,8.67695222925126,73.31513448672523
inside_only,ARX_na24_nb6_nk2_alpha10,24,6,2,10.0,480,40,120,17,127,95.49285838238659,79.05276486268914,"[83.32667034037607, 64.69777411562043, 80.37726904367871, 79.12617416672339]",76.88197191659965,7.197957341719257,73.28299324574003
inside_only,ARX_na24_nb3_nk2_alpha1,24,3,2,1.0,480,40,60,17,76,95.3219837618087,76.41193240313619,"[76.37314998393072, 68.09423817900189, 78.3616535533236, 78.85384958980731]",75.42072282651588,4.330702243665258,73.25537170468326
inside_only,ARX_na18_nb6_nk2_alpha1,18,6,2,1.0,360,40,120,17,121,95.51761496964673,79.19236440345261,"[84.05098325005899, 64.08998931124499, 80.57506833351862, 79.06093118166037]",76.94424301912073,7.638731182886028,73.12487742767772
inside_only,ARX_na24_nb6_nk2_alpha1,24,6,2,1.0,480,40,120,17,127,95.51930011455302,79.16019032798798,"[84.26372116147287, 64.08061697910692, 80.26791063579708, 79.03546304954408]",76.91192795648024,7.656099296678192,73.08387830814115
inside_only,ARX_na18_nb6_nk2_alpha0.1,18,6,2,0.1,360,40,120,17,121,95.5184147691763,79.27616889733386,"[84.50113085029413, 63.820929348139835, 80.67601378525293, 79.00366945283713]",77.00043585913102,7.86579041078622,73.06754065373791
inside_only,ARX_na24_nb6_nk2_alpha0.1,24,6,2,0.1,480,40,120,17,127,95.52011360582034,79.25827490903758,"[84.74617032004302, 63.827227863328076, 80.37986349424278, 78.97993774217622]",76.98329985494752,7.887768941770313,73.03941538406237
inside_only,ARX_na24_nb3_nk2_alpha10,24,3,2,10.0,480,40,60,17,76,95.28858526670606,76.09180199929057,"[75.57531059098746, 67.80859911949378, 78.22496601636665, 78.611401092102]",75.05506920473746,4.3438957770002276,72.88312131623735
inside_only,ARX_na12_nb3_nk3_alpha10,12,3,3,10.0,240,60,60,17,64,95.37190826106816,75.66915530923937,"[70.8598134827244, 70.8760889942978, 80.58485246126833, 77.46987011075089]",74.94765626226035,4.225744380916089,72.8347840718023
inside_only,ARX_na18_nb3_nk3_alpha0.1,18,3,3,0.1,360,60,60,17,70,95.40339419271862,74.50376921308575,"[69.97292406550153, 70.30837716078422, 79.55440856712292, 77.88061371711221]",74.42908087763021,4.330692656002403,72.263734549629
inside_only,ARX_na24_nb3_nk3_alpha0.1,24,3,3,0.1,480,60,60,17,76,95.40533681538386,74.65628519009144,"[70.34635913230954, 69.53188089927869, 79.53970467380132, 77.87805421160353]",74.32399972924827,4.433421616853871,72.10728892082133
inside_only,ARX_na18_nb3_nk3_alpha1,18,3,3,1.0,360,60,60,17,70,95.40256909652614,73.90246485439363,"[68.65005481374357, 70.27786472749906, 79.37487912882575, 77.94370975958313]",74.06162710741287,4.661093895176045,71.73108015982486
inside_only,ARX_na12_nb3_nk1_alpha1,12,3,1,1.0,240,20,60,17,64,95.1689393311092,75.69317535104474,"[75.41522721056837, 66.32292622495054, 79.11601748343044, 74.94534504308943]",73.9498789905097,4.690351625517423,71.60470317775099
inside_only,ARX_na12_nb3_nk1_alpha10,12,3,1,10.0,240,20,60,17,64,95.12630850051022,75.42934825549153,"[74.8858936775072, 66.77462654954542, 78.36496557108293, 74.8853248073241]",73.72770265136491,4.258255809991023,71.5985747463694
inside_only,ARX_na24_nb3_nk3_alpha1,24,3,3,1.0,480,60,60,17,76,95.40451764301604,74.00107370125075,"[68.90053765316483, 69.4545159125305, 79.34651110975844, 77.93950971126537]",73.91026859667978,4.762841922875077,71.52884763524224
inside_only,ARX_na18_nb3_nk1_alpha10,18,3,1,10.0,360,20,60,17,70,95.12779875777194,75.9637166249469,"[76.82896996183874, 65.50785126967016, 78.10919799791327, 74.94251333950406]",73.84713314223156,4.944694823227471,71.37478573061782
inside_only,ARX_na12_nb3_nk1_alpha0.1,12,3,1,0.1,240,20,60,17,64,95.17124232766089,75.36235614619609,"[74.85370124044522, 66.17301408745664, 79.09925602251266, 74.76001676396771]",73.72149702859556,4.697347552805977,71.37282325219257
inside_only,ARX_na18_nb3_nk1_alpha1,18,3,1,1.0,360,20,60,17,70,95.16991608418927,76.04404481021996,"[77.19792657052756, 64.83870310621636, 78.80367042032412, 74.80436160285262]",73.91116542498017,5.427862744554728,71.19723405270281
inside_only,ARX_na18_nb3_nk3_alpha10,18,3,3,10.0,360,60,60,17,70,95.37557886402101,73.36011911405511,"[67.63351296457103, 69.89984668926074, 79.11281918932141, 77.90116800775169]",73.63683671272622,4.954187520127693,71.15974295266237
