candidate,residual_model,shrink,val_FIT_sim,test_FIT_sim,test_RMSE_sim,test_Bias_sim,n_residual_features,val_block_FIT_sim,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_robust_score
hgb_leaf15_l2_0.01|0.25,hgb_leaf15_l2_0.01,0.25,81.1508887827253,83.43261705314913,0.1590621100812152,-0.020697299165367444,86,"[84.98699204323998, 72.24589022028921, 79.28290425536888, 80.87844687025621]",79.34855834728856,4.598496994084773,77.04930985024617
ARX_backbone_no_residual,none,0.0,80.89530060240668,82.49572822125447,0.1680571043413687,-0.03814130676959222,86,"[83.6616046675959, 72.37735739007245, 78.43440299340779, 82.57189601161897]",79.26131526567377,4.427051830371112,77.04778935048822
ridge_alpha1|0,ridge_alpha1,0.0,80.89530060240668,82.49572822125447,0.1680571043413687,-0.03814130676959222,86,"[83.6616046675959, 72.37735739007245, 78.43440299340779, 82.57189601161897]",79.26131526567377,4.427051830371112,77.04778935048822
hgb_leaf15_l2_0.01|0,hgb_leaf15_l2_0.01,0.0,80.89530060240668,82.49572822125447,0.1680571043413687,-0.03814130676959222,86,"[83.6616046675959, 72.37735739007245, 78.43440299340779, 82.57189601161897]",79.26131526567377,4.427051830371112,77.04778935048822
ridge_alpha10|0,ridge_alpha10,0.0,80.89530060240668,82.49572822125447,0.1680571043413687,-0.03814130676959222,86,"[83.6616046675959, 72.37735739007245, 78.43440299340779, 82.57189601161897]",79.26131526567377,4.427051830371112,77.04778935048822
ridge_alpha0.1|0,ridge_alpha0.1,0.0,80.89530060240668,82.49572822125447,0.1680571043413687,-0.03814130676959222,86,"[83.6616046675959, 72.37735739007245, 78.43440299340779, 82.57189601161897]",79.26131526567377,4.427051830371112,77.04778935048822
hgb_leaf31_l2_0.05|0,hgb_leaf31_l2_0.05,0.0,80.89530060240668,82.49572822125447,0.1680571043413687,-0.03814130676959222,86,"[83.6616046675959, 72.37735739007245, 78.43440299340779, 82.57189601161897]",79.26131526567377,4.427051830371112,77.04778935048822
hgb_leaf31_l2_0.05|0.25,hgb_leaf31_l2_0.05,0.25,80.90608270736097,83.31396684519929,0.16020126117699307,-0.020499448229798278,86,"[85.03598241893881, 71.82425246608008, 79.0633974325368, 80.32400475442256]",79.06190926799457,4.734609625582334,76.6946044552034
ridge_alpha10|0.25,ridge_alpha10,0.25,81.32386225060581,82.8226667597753,0.16491819374994807,0.004635411876191212,86,"[84.79533170614236, 69.43609434864115, 80.76191648783086, 81.61101048933769]",79.15108825798802,5.806990953390296,76.24759278129288
ridge_alpha1|0.25,ridge_alpha1,0.25,81.31195159021121,82.84288548352914,0.16472407541069364,0.004770974320320622,86,"[84.76709015450253, 69.41806343034497, 80.75930194091065, 81.60639949801111]",79.13771375594231,5.807009527787817,76.23420899204841
ridge_alpha0.1|0.25,ridge_alpha0.1,0.25,81.31220200140285,82.84427632355504,0.1647107220675607,0.004881538549051958,86,"[84.76943588524084, 69.41103072195222, 80.76266201813316, 81.60499170955563]",79.13703008372046,5.810606088672981,76.23172703938397
hgb_leaf15_l2_0.01|0.5,hgb_leaf15_l2_0.01,0.5,80.39839020968363,83.3618312636923,0.15974171874788803,-0.0032956869008669344,86,"[85.2749646506866, 70.71714451978717, 79.53872600355021, 77.95208597319913]",78.37073028680578,5.190985077520238,75.77523774804567
hgb_leaf31_l2_0.05|0.5,hgb_leaf31_l2_0.05,0.5,79.79221523273961,83.17448251401234,0.16154043901292756,-0.002905737758701667,86,"[85.21174097414708, 69.83027641274188, 79.07498324381709, 76.68047419896655]",77.69936870741816,5.506559996680238,74.94608870907804
ridge_alpha10|0.5,ridge_alpha10,0.5,80.80499422961464,82.0282348091355,0.1725454709602405,0.04572191696562072,86,"[84.89768669316244, 64.40779365309307, 82.67621730134984, 80.40171338336066]",78.09585275774151,8.061089248893694,74.06530813329466
ridge_alpha1|0.5,ridge_alpha1,0.5,80.77291083318998,82.05218318294973,0.17231554455097434,0.04597986849018533,86,"[84.85100309905177, 64.33450242531515, 82.66360946643265, 80.38371964390873]",78.05820865867707,8.079292775845406,74.01856227075437
ridge_alpha0.1|0.5,ridge_alpha0.1,0.5,80.76907739294703,82.04817129545125,0.17235406235991033,0.04619334347447719,86,"[84.85047711991932, 64.31235377908177, 82.66783870649121, 80.37954026566435]",78.05255246778917,8.088890202892602,74.00810736634287
hgb_leaf15_l2_0.01|0.75,hgb_leaf15_l2_0.01,0.75,78.7447531064524,82.29781604063612,0.16995724325654443,0.014021669633711572,86,"[84.46757694055593, 67.99085108816163, 79.18000944650844, 74.20972548224096]",76.46204073936674,6.089128465669742,73.41747650653187
hgb_leaf31_l2_0.05|0.75,hgb_leaf31_l2_0.05,0.75,77.72208835772449,82.10472849446577,0.17181106124474377,0.014624040005652802,86,"[84.14846942956612, 66.65354613850958, 78.46816376184731, 72.18572208334604]",75.36397535331727,6.572217905805496,72.07786640041452
ridge_alpha10|0.75,ridge_alpha10,0.75,79.43188970070199,80.3134451565628,0.1890090283825969,0.08511789617299521,86,"[83.99195413510894, 58.086244571041945, 84.02969480740026, 78.99106313574987]",76.27473916232526,10.699234732201422,70.92512179622454
ridge_alpha1|0.75,ridge_alpha1,0.75,79.3730477816539,80.32274561945079,0.1889197353870501,0.08551343334424609,86,"[83.93661617445429, 57.93681839823521, 83.9968600774413, 78.95350758490109]",76.20595055875798,10.7444371828004,70.83373196735778
ridge_alpha0.1|0.75,ridge_alpha0.1,0.75,79.36138022756182,80.3080375369981,0.1890609465027512,0.08582756829351275,86,"[83.92834739476828, 57.89495002243552, 83.99808220828456, 78.94561141213245]",76.1917477594052,10.76046471918211,70.81151539981414
hgb_leaf15_l2_0.01|1,hgb_leaf15_l2_0.01,1.0,76.37860526857855,80.40614148804399,0.18811905836563725,0.031267055689672286,86,"[82.71780370653453, 64.34067268142773, 78.2371216204917, 69.9550684605332]",73.81266661724679,7.132268245684891,70.24653249440435
hgb_leaf31_l2_0.05|1,hgb_leaf31_l2_0.05,1.0,74.93242929411998,80.26124207474481,0.1895102259690443,0.03202367709132387,86,"[82.06522487304628, 62.59637193544314, 77.29246240368242, 67.1898686409526]",72.2859819632811,7.7549557022252795,68.40850411216846
ridge_alpha10|1,ridge_alpha10,1.0,77.39005983525976,77.96232733542485,0.21158192133011186,0.12300943706967661,86,"[82.25411053407254, 51.05789311366574, 84.68509065007291, 77.43606134643387]",73.85828891106127,13.419835698868416,67.14837106162706
ridge_alpha1|1,ridge_alpha1,1.0,77.30840013578192,77.94523450873491,0.21174602818327498,0.12354668907663538,86,"[82.19737170022327, 50.861168519858026, 84.62101900863861, 77.37320280819442]",73.76319050922858,13.477413068588369,67.0244839749344
ridge_alpha0.1|1,ridge_alpha0.1,1.0,77.28765410218415,77.91729094855609,0.21201431205523488,0.1239580244436187,86,"[82.17817756598758, 50.80392420075375, 84.61432409378523, 77.36052157365474]",73.73923685854533,13.496532076207053,66.9909708204418
