input_set,model,na,nb,nk,alpha,physical_memory_seconds,input_delay_seconds,input_memory_seconds,n_input_cols,n_params,val_FIT_1step,val_FIT_sim,val_block_FIT_sim,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_robust_score
inside_only,ARX_na12_nb3_nk2_alpha0.1,12,3,2,0.1,240,40,60,19,70,95.31928364945644,79.08315077553021,"[79.30500865850195, 70.48130561261112, 81.25750315551359, 78.22410577024024]",77.31698079921674,4.0935712458561015,75.27019517628868
inside_only,ARX_na12_nb3_nk2_alpha1,12,3,2,1.0,240,40,60,19,70,95.31785917026434,78.6273705071152,"[78.1401925048958, 70.53636110700813, 80.99355601352065, 78.23007084176365]",76.97504511679705,3.890300104468774,75.02989506456267
inside_only,ARX_na12_nb3_nk2_alpha10,12,3,2,10.0,240,40,60,19,70,95.28406100546613,78.29160551139319,"[77.31716424850134, 70.28677871822362, 80.81963870454693, 77.98294586803335]",76.60163188482632,3.875853677921531,74.66370504586556
inside_only,ARX_na12_nb6_nk1_alpha10,12,6,1,10.0,240,20,120,19,127,95.44428618865815,80.10208728699357,"[86.02607367714964, 65.31452891236246, 83.4764788607428, 78.44557038107183]",78.31566295783169,7.986407462858148,74.32245922640261
inside_only,ARX_na18_nb6_nk1_alpha10,18,6,1,10.0,360,20,120,19,133,95.44878199382426,79.91819306617151,"[85.35884937405064, 65.92177768115104, 81.91898569986355, 78.34938134033268]",77.88724852384948,7.339376389529252,74.21756032908485
inside_only,ARX_na24_nb6_nk1_alpha10,24,6,1,10.0,480,20,120,19,139,95.45041508895548,79.93686220581628,"[85.63436342736397, 65.8364808280578, 81.65376795040626, 78.3589339520899]",77.87088653947947,7.410244197425386,74.16576444076678
inside_only,ARX_na24_nb6_nk3_alpha10,24,6,3,10.0,480,60,120,19,139,95.52642098682965,80.14904316449181,"[85.43595281516012, 64.87096899283853, 82.23445607503623, 79.69847130375781]",78.05996229669817,7.881400423929968,74.1192620847332
inside_only,ARX_na12_nb6_nk3_alpha10,12,6,3,10.0,240,60,120,19,127,95.52017526551558,80.09416400459072,"[85.45883056936898, 64.48838838128923, 83.02214781226519, 79.69354809086458]",78.165728713447,8.157481409048707,74.08698800892265
inside_only,ARX_na24_nb6_nk3_alpha1,24,6,3,1.0,480,60,120,19,139,95.5510458857807,80.18826251928989,"[86.03762250697027, 64.48688511627071, 82.44935989201547, 79.63889202875183]",78.15318988600208,8.209697792722181,74.04834098964099
inside_only,ARX_na18_nb3_nk2_alpha0.1,18,3,2,0.1,360,40,60,19,76,95.32142892315811,76.96565309727717,"[77.27831232193027, 69.21831426303373, 78.84433181138662, 78.81924964684099]",76.04005201079791,3.9892768516854527,74.04541358495518
