input_set,model,na,nb,nk,alpha,physical_memory_seconds,input_delay_seconds,input_memory_seconds,n_input_cols,n_params,val_FIT_1step,val_FIT_sim,val_block_FIT_sim,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_robust_score
outdoor,ARX_na24_nb6_nk1_alpha1,24,6,1,1.0,480,20,120,23,163,95.47589210454326,77.3529044773802,"[85.81846210747392, 57.05020116963486, 84.50446009235341, 77.38110281417417]",76.1885565459091,11.50639111569023,70.43536098806398
outdoor,ARX_na24_nb6_nk1_alpha0.1,24,6,1,0.1,480,20,120,23,163,95.47675127895344,77.37030271982503,"[85.88644650611057, 56.95863360048816, 84.45473313123858, 77.4410747804567]",76.1852220045735,11.551379127165543,70.40953244099073
outdoor,ARX_na24_nb6_nk1_alpha10,24,6,1,10.0,480,20,120,23,163,95.44976595974391,77.09791508938663,"[85.28617731132522, 57.07951127606832, 84.27371000367, 77.46896361290301]",76.02709055099164,11.344901700090302,70.35463970094649
outdoor,ARX_na24_nb6_nk2_alpha10,24,6,2,10.0,480,40,120,23,163,95.49265910560587,77.62922039279466,"[87.01117938110896, 55.3168713388841, 85.27482194451082, 78.12412878940424]",76.43175036347702,12.637508598277375,70.11299606433833
outdoor,ARX_na24_nb6_nk2_alpha1,24,6,2,1.0,480,40,120,23,163,95.51915169060119,77.72133482979888,"[87.39756096262053, 55.019080036473625, 85.41721035290698, 78.11543622816205]",76.4873218950408,12.867715309655065,70.05346424021326
outdoor,ARX_na24_nb6_nk2_alpha0.1,24,6,2,0.1,480,40,120,23,163,95.51997508017045,77.70603149103773,"[87.43909814160602, 54.89854743875509, 85.40386018781838, 78.12610750394387]",76.46690331803083,12.92483260244183,70.00448701680992
outdoor,ARX_na18_nb6_nk1_alpha1,18,6,1,1.0,360,20,120,23,157,95.47412987890127,77.10726531723753,"[85.38314212778633, 56.321465779606726, 84.36676556099636, 77.25480751593597]",75.83154524608133,11.691362892020765,69.98586380007094
outdoor,ARX_na18_nb6_nk1_alpha0.1,18,6,1,0.1,360,20,120,23,157,95.47498917994874,77.1303050587848,"[85.45962029354126, 56.223427368287346, 84.31913715373098, 77.31898292891404]",75.83029193611841,11.741271191793414,69.95965634022171
outdoor,ARX_na18_nb6_nk1_alpha10,18,6,1,10.0,360,20,120,23,157,95.44811489956724,76.78327007773001,"[84.73405453488493, 56.31354274151349, 84.0912244275762, 77.31003511114429]",75.61221420377973,11.51545593369403,69.85448623693271
outdoor,ARX_na18_nb6_nk2_alpha10,18,6,2,10.0,360,40,120,23,157,95.49108334649726,77.32384717348623,"[86.41179255111354, 54.59346797490503, 85.14154622368231, 77.98971379305675]",76.03413013568941,12.788346319424882,69.63995697597697
outdoor,ARX_na18_nb6_nk2_alpha1,18,6,2,1.0,360,40,120,23,157,95.51745051879304,77.47418794159508,"[86.86331833506402, 54.34597648006781, 85.33348848987107, 78.0181189397691]",76.140225561193,13.019375738339738,69.63053769202314
