model,na,nb,nk,alpha,physical_memory_seconds,input_delay_seconds,input_memory_seconds,n_params,val_FIT_1step,val_FIT_sim,val_block_FIT_sim,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_robust_score
ARX_na18_nb3_nk3_alpha0.01,18,3,3,0.01,360,60,60,70,97.41341340542388,82.49278998004772,"[90.13872392539423, 65.14752985161599, 82.64881075905602, 85.07956257346392]",80.75365677738255,9.406590144237278,76.05036170526391
ARX_na18_nb3_nk3_alpha0.1,18,3,3,0.1,360,60,60,70,97.41329011271344,82.46868523201837,"[90.07114954286051, 65.06392234182185, 82.67641340727259, 84.98793766191977]",80.69985573846868,9.415386178390984,75.9921626492732
ARX_na24_nb3_nk3_alpha0.01,24,3,3,0.01,480,60,60,76,97.41367344799366,82.64196973724201,"[88.82841814143873, 64.53592144417495, 83.16146157700966, 85.58705775851895]",80.52821473028557,9.449506639973134,75.80346141029901
ARX_na24_nb3_nk3_alpha0.1,24,3,3,0.1,480,60,60,76,97.41355169047343,82.61838688619495,"[88.74130806890713, 64.46432838686835, 83.18674048808113, 85.5098766345761]",80.47556339460817,9.452208373232995,75.74945920799168
ARX_na18_nb3_nk3_alpha1,18,3,3,1.0,360,60,60,70,97.4110296794264,82.20943697887246,"[89.04764266932258, 64.1609363125694, 82.91420444227896, 84.1650493159339]",80.07195818502622,9.467778089132372,75.33806914046004
ARX_na24_nb3_nk3_alpha1,24,3,3,1.0,480,60,60,76,97.41130650310642,82.35193425444388,"[87.49349933752848, 63.667954651452206, 83.4004650296132, 84.8050820216866]",79.84175026007011,9.453042384869645,75.1152290676353
ARX_na12_nb3_nk3_alpha0.01,12,3,3,0.01,240,60,60,64,97.41157645714212,81.61821757204567,"[91.44879384598673, 60.25764748454946, 81.29802095632814, 84.84937076727392]",79.46345826353456,11.671387133433416,73.62776469681785
ARX_na12_nb3_nk3_alpha0.1,12,3,3,0.1,240,60,60,64,97.41144319236722,81.59430681945186,"[91.41419326860613, 60.11385773070359, 81.33310367178825, 84.77210877526404]",79.40831586159051,11.714225213516006,73.5512032548325
ARX_na18_nb3_nk2_alpha0.01,18,3,2,0.01,360,40,60,70,97.38979853220354,80.2286789398399,"[74.4246602139592, 66.61781381783167, 81.84351625181961, 84.90636928199469]",76.9480898914013,7.077812359800563,73.40918371150102
ARX_na18_nb3_nk2_alpha0.1,18,3,2,0.1,360,40,60,70,97.38960988707302,80.20844985912919,"[74.40843104475776, 66.49813845918338, 81.8555876262519, 84.83381622603609]",76.89899333905728,7.104750592905361,73.3466180426046
ARX_na12_nb3_nk3_alpha1,12,3,3,1.0,240,60,60,64,97.40910641405476,81.35344787273506,"[90.71179948045098, 58.7320034302847, 81.6449587451838, 84.06709002326039]",78.78896291979497,12.046275290426356,72.76582527458179
ARX_na18_nb6_nk3_alpha0.01,18,6,3,0.01,360,60,120,121,97.50379513986296,79.84918022938827,"[70.4290716684628, 66.83881314736138, 82.50855173690657, 88.56948763119054]",77.08648104598032,8.81183987305753,72.68056110945156
ARX_na18_nb3_nk2_alpha1,18,3,2,1.0,360,40,60,70,97.38679389420054,79.91319508880964,"[73.95488149634349, 65.34796747590005, 81.88503047238747, 84.12404822493748]",76.32798191739212,7.379901104655392,72.63803136506442
ARX_na18_nb6_nk3_alpha0.1,18,6,3,0.1,360,60,120,121,97.50380370206858,79.81296859847272,"[70.31197583978432, 66.82459321727046, 82.49760750079906, 88.55940610186033]",77.04839566492853,8.833215148810192,72.63178809052344
ARX_na24_nb3_nk2_alpha0.01,24,3,2,0.01,480,40,60,76,97.38997228388925,79.8107843669251,"[72.14700132341551, 65.88675532757901, 81.81049618101261, 85.24675102067538]",76.27275096317062,7.682610470443861,72.4314457279487
ARX_na24_nb3_nk2_alpha0.1,24,3,2,0.1,480,40,60,76,97.38978379406562,79.78872160376676,"[72.11260562374126, 65.77039008086048, 81.82121779149583, 85.18675953927487]",76.22274325884311,7.711054131981097,72.36721619285257
ARX_na18_nb6_nk3_alpha1,18,6,3,1.0,360,60,120,121,97.50250717624701,79.49489577099334,"[69.31610431590991, 66.67927781482504, 82.39533750884218, 88.42538502252893]",76.70402616552651,9.011912214010364,72.19807005852134
ARX_na18_nb9_nk3_alpha0.01,18,9,3,0.01,360,60,180,172,97.53150036252136,79.23216387816086,"[68.51180482595538, 67.35569508212012, 82.01019930965603, 88.94085132698193]",76.70463763617836,9.115908436538716,72.146683417909
ARX_na12_nb6_nk2_alpha0.01,12,6,2,0.01,240,40,120,115,97.49697746957123,79.97353488019166,"[70.05438648030152, 65.57885380795712, 82.67898590836434, 89.27073201643911]",76.89573955326553,9.50608215445098,72.14269847604004
ARX_na18_nb9_nk3_alpha0.1,18,9,3,0.1,360,60,180,172,97.53158349895368,79.22658945013785,"[68.4952895258111, 67.35568001269093, 82.00662299782384, 88.92319519581416]",76.695196933035,9.11318064877306,72.13860660864847
ARX_na18_nb6_nk2_alpha0.01,18,6,2,0.01,360,40,120,121,97.49814743029062,79.51396930152892,"[68.49396881762969, 66.82095285215648, 82.54627644535213, 89.86549137098979]",76.93167237153202,9.646617843569704,72.10836344974716
ARX_na12_nb6_nk2_alpha0.1,12,6,2,0.1,240,40,120,115,97.49692436796252,79.92213096118743,"[69.90256076312463, 65.53301465675204, 82.66708651384833, 89.26758038141155]",76.84256057878414,9.544313043218793,72.07040405717476
ARX_na18_nb6_nk2_alpha0.1,18,6,2,0.1,360,40,120,121,97.49809320296103,79.46459464257536,"[68.35526917774641, 66.78224951077486, 82.53168269119935, 89.86131229126241]",76.88262841774576,9.683640314281226,72.04080826060515
ARX_na12_nb6_nk3_alpha0.01,12,6,3,0.01,240,60,120,115,97.50296039199283,79.96225699830349,"[70.96696596521932, 64.87207209876536, 82.3445374388806, 88.32837994099458]",76.62798886096496,9.217196404211368,72.01939065885928
