label,n_inputs,input_cols,best_alpha,rank,n_params,condition_number_xtx,theta_l2,val_FIT_1step,val_FIT_12step,val_FIT_sim,val_RMSE_sim,test_FIT_1step,test_FIT_12step,test_FIT_sim,test_RMSE_sim,drop_val_FIT_sim_vs_full,drop_test_FIT_sim_vs_full
Full: raw + all engineered,16,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'Light_log', 'Temp_x_Humi', 'Temp_x_Light', 'Humi_x_Light', 'SP_Center', 'SP_Width', 'Month_sin', 'Month_cos', 'Season_sin', 'Season_cos')",0.0,21,22,3.7396485752507904e+18,1.0737527489617702,86.29823048184699,69.80509948963034,68.84107198659018,0.9354853379208526,85.84919283120026,67.16010134795975,66.41757488973361,0.9782128165768166,0.0,0.0
Full minus Light_log,15,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'Temp_x_Humi', 'Temp_x_Light', 'Humi_x_Light', 'SP_Center', 'SP_Width', 'Month_sin', 'Month_cos', 'Season_sin', 'Season_cos')",0.0,20,21,1.704263124542037e+18,1.073752536957446,86.29795380499762,69.80320064902092,68.83834315502367,0.9355672657047295,85.84907623222318,67.15715956257591,66.41406952422024,0.9783149233621582,0.0027288315665146,0.003505365513376546
Full minus Temp_x_Humi,15,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'Light_log', 'Temp_x_Light', 'Humi_x_Light', 'SP_Center', 'SP_Width', 'Month_sin', 'Month_cos', 'Season_sin', 'Season_cos')",0.0,20,21,9.218148377343423e+18,1.0736251603845985,86.2985610330863,69.81143103508187,68.8518253502508,0.9351624893930238,85.8487497702783,67.15544178751375,66.40833473475718,0.978481970397466,-0.010753363660626292,0.00924015497643893
Full minus Temp_x_Light,15,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'Light_log', 'Temp_x_Humi', 'Humi_x_Light', 'SP_Center', 'SP_Width', 'Month_sin', 'Month_cos', 'Season_sin', 'Season_cos')",0.0,20,21,2.4605427727019295e+18,1.0737924119428743,86.29807938871964,69.80363922137447,68.83811921342395,0.9355739891094303,85.84927871072378,67.15941198877111,66.41740367884074,0.9782178037297455,0.0029527731662284395,0.00017121089287286395
Full minus Humi_x_Light,15,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'Light_log', 'Temp_x_Humi', 'Temp_x_Light', 'SP_Center', 'SP_Width', 'Month_sin', 'Month_cos', 'Season_sin', 'Season_cos')",0.0,20,21,6.433851648165197e+18,1.0737659250650886,86.29830626676471,69.80550951320495,68.84145069308812,0.9354739680054287,85.8492593803883,67.16104865782984,66.41882328498674,0.9781764524300121,-0.0003787064979405841,-0.0012483952531283649
Full minus SP_Center,15,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'Light_log', 'Temp_x_Humi', 'Temp_x_Light', 'Humi_x_Light', 'SP_Width', 'Month_sin', 'Month_cos', 'Season_sin', 'Season_cos')",0.0,20,21,3.1289531684290406e+18,1.073224310304411,86.12937380227363,66.07473604004564,61.91151948592057,1.14353147994279,85.71716051207548,64.19907632700117,60.740045290378845,1.1435919457596355,6.929552500669608,5.67752959935477
Full minus SP_Width,15,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'Light_log', 'Temp_x_Humi', 'Temp_x_Light', 'Humi_x_Light', 'SP_Center', 'Month_sin', 'Month_cos', 'Season_sin', 'Season_cos')",0.0,21,21,6289.986828676215,1.0737527489617704,86.298230481847,69.80509948963034,68.8410719865902,0.935485337920852,85.84919283120024,67.16010134795975,66.41757488973363,0.978212816576816,-1.4210854715202004e-14,-1.4210854715202004e-14
Full minus Month_sin,15,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'Light_log', 'Temp_x_Humi', 'Temp_x_Light', 'Humi_x_Light', 'SP_Center', 'SP_Width', 'Month_cos', 'Season_sin', 'Season_cos')",0.0,20,21,3.1150884586798965e+19,1.0737973901510522,86.29746767667862,69.78772172438393,68.80948750066086,0.9364335997955842,85.84825829983126,67.15133937863543,66.40384887092445,0.9786126378367647,0.031584485929315065,0.013726018809165907
Full minus Month_cos,15,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'Light_log', 'Temp_x_Humi', 'Temp_x_Light', 'Humi_x_Light', 'SP_Center', 'SP_Width', 'Month_sin', 'Season_sin', 'Season_cos')",0.0,20,21,7.374434230452437e+19,1.0739044861078284,86.2968215231351,69.77776212954481,68.78866172346783,0.9370588526671373,85.84917624730826,67.16551975181903,66.4232307733423,0.9780480679674797,0.052410263122354195,-0.005655883608682188
Full minus Season_sin,15,"('Temperature', 'Humidity', 'Light', 'Drip', 'Mist', 'Fan', 'Light_log', 'Temp_x_Humi', 'Temp_x_Light', 'Humi_x_Light', 'SP_Center', 'SP_Width', 'Month_sin', 'Month_cos', 'Season_cos')",0.0,20,21,3.2392978980947444e+19,1.073784557055742,86.29858675856762,69.81549923416279,68.85926688946353,0.9349390718601074,85.84898733791388,67.15531575632986,66.40817909239361,0.9784865040591763,-0.01819490287334702,0.009395797340005174
