rank,na,nb,nk,order,n_params,rank_x_train,sigma2_train,val_FIT_1step,val_FIT_12step,val_FIT_sim,val_RMSE_sim,test_FIT_1step,test_FIT_12step,test_FIT_sim,test_RMSE_sim,test_Bias_sim
1,1,5,2,"(1,5,2)",82,77,0.014174631973658772,86.60572955902877,70.33469565873914,68.95594283365008,0.9320483787930359,86.15143141923123,67.89778723272188,66.83374279146224,0.9661128722675418,0.016188200669347796
2,5,1,2,"(5,1,2)",22,21,0.014878042708581085,86.29823048184699,69.80509948963034,68.84107198659018,0.9354853379208526,85.84919283120026,67.16010134795975,66.41757488973361,0.9782128165768166,0.0033488796640770203
3,2,5,2,"(2,5,2)",83,78,0.014156542127768736,86.61864687473167,69.93614660982976,68.79523200462317,0.936873465502752,86.15968919830792,67.28102529847165,66.40197582319377,0.978689981081518,0.016888421144233924
4,5,3,2,"(5,3,2)",54,51,0.014690531140804278,86.37635717418685,69.8777332507588,68.78755294643855,0.9370921415098559,85.93464690021972,67.29980119124714,66.49222223827536,0.9760384353989463,0.007940548956960041
5,4,5,2,"(4,5,2)",85,80,0.01411471471533921,86.6511765234739,69.70689068597981,68.67691269303567,0.9404258144097941,86.18028474973569,66.94626689636306,66.15709096005307,0.9858233279954046,0.017034976816482778
6,5,5,2,"(5,5,2)",86,81,0.014106170645048051,86.65457930381773,69.47846002951827,68.60195472793025,0.9426763079416085,86.18127427828783,66.55452044020005,65.87885577643591,0.9939281494324486,0.016028797880731176
7,3,5,2,"(3,5,2)",84,79,0.014126853584401506,86.6436725380487,69.35489631141638,68.51688087994404,0.9452305147473855,86.172867468367,66.38918811931298,65.74748251115561,0.9977549726359554,0.0161163361353306
8,5,2,2,"(5,2,2)",38,36,0.014795467938570873,86.34210546108389,68.8095920443339,68.3246986435588,0.9509884287554,85.88460065859348,65.6503217694371,65.29752329679496,1.0108384777624624,0.012393892093793445
9,1,1,2,"(1,1,2)",18,17,0.015902334299082752,85.78760110531199,69.02902816012816,68.25214916263313,0.9531060328918882,85.47429114456484,66.70172298083006,66.26345701580551,0.9826352142247682,0.02486630672807125
10,1,3,2,"(1,3,2)",50,47,0.015876843629196162,85.79481093595267,69.00429641909211,68.2398097308059,0.9535210198277186,85.47398082607529,66.56932225200862,66.16944624211062,0.9854172508447013,0.021881086357961994
11,1,2,2,"(1,2,2)",34,32,0.01588832889170239,85.79260846670806,68.99365116502787,68.23053478251828,0.9537775801741539,85.46795690090613,66.58554895233594,66.17979935552258,0.985092998057206,0.03593192648499562
12,3,1,2,"(3,1,2)",20,19,0.01587123073597684,85.81035535572566,68.75458141759687,68.17677007356254,0.9553916952892663,85.4828937950171,66.17841455524574,65.87835493837217,0.9938732766770725,0.02107217336162617
13,2,1,2,"(2,1,2)",19,18,0.01588531337232832,85.80056564032867,68.76050850909749,68.15954878440277,0.9558859999388398,85.4758154743099,66.25734135203496,65.9516786753371,0.9917162980963535,0.02271989570758802
14,2,2,2,"(2,2,2)",35,33,0.01587874632307362,85.79943009808264,68.6094265081553,68.06410052743246,0.9587742415906165,85.47168067594774,66.04456136639803,65.81576482690376,0.9956963610875792,0.03560265612702215
15,2,3,2,"(2,3,2)",51,48,0.01586513804574552,85.80291977538843,68.57983643221637,68.04666686186935,0.9593196559127001,85.47843573190718,65.96472739062229,65.75026518497,0.99762716759303,0.021457416799705656
16,4,1,2,"(4,1,2)",21,20,0.01565431857683498,85.91483912985714,68.68986378158237,67.98676686635257,0.9611180048623993,85.5746300936392,66.50311925793486,66.21287742054498,0.9841521863482696,0.03646475702214214
