dataset,model,na,nb,nk,alpha,n_params,val_FIT_1step,val_FIT_sim,val_robust_score,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_block_FIT_sim
new_identifiable_data,ARX_na12_nb5_nk2_alpha0,12,5,2,0.0,93,97.01094497687875,87.15759819306376,81.83119299818078,83.26011349605551,2.857840995749454,"[80.08901450978256, 85.08856833851812, 86.96199311466924, 80.9008780212521]"
new_identifiable_data,ARX_na12_nb5_nk2_alpha0.001,12,5,2,0.001,93,97.0109470163337,87.15758196240778,81.83116784020754,83.26009438349307,2.8578530865710414,"[80.08902191753575, 85.08848419099863, 86.96204529038629, 80.90082613505159]"
new_identifiable_data,ARX_na12_nb5_nk2_alpha0.01,12,5,2,0.01,93,97.01096233734718,87.15746983473358,81.83100186878652,83.25995814148604,2.8579125453990377,"[80.08913922269393, 85.08787494200209, 86.96238189710147, 80.90043650414668]"
new_identifiable_data,ARX_na12_nb5_nk2_alpha0.1,12,5,2,0.1,93,97.01104556364173,87.15735112682027,81.83093677098601,83.2596736349512,2.857473727930357,"[80.09142598694667, 85.08604206565595, 86.96268264440454, 80.89854384279764]"
new_identifiable_data,ARX_na2_nb5_nk2_alpha0,2,5,2,0.0,83,97.01127701021419,87.14928533660797,81.82843642159935,83.24698050510425,2.8370881670097905,"[80.10951861109456, 85.08556814246825, 86.90712089559267, 80.88571437126153]"
new_identifiable_data,ARX_na2_nb5_nk2_alpha0.001,2,5,2,0.001,83,97.01127900687105,87.14926842446977,81.82841087023098,83.24696056932243,2.8370993981829002,"[80.10952416219814, 85.08548887530347, 86.90716679438705, 80.88566244540101]"
new_identifiable_data,ARX_na2_nb5_nk2_alpha0.01,2,5,2,0.01,83,97.01129404160423,87.14915284657954,81.82824220142068,83.24681935265323,2.8371543024650996,"[80.1096267568139, 85.08491969359453, 86.90745893214415, 80.88527202806036]"
new_identifiable_data,ARX_na2_nb5_nk2_alpha0.1,2,5,2,0.1,83,97.01137607203859,87.14902864633108,81.82813134633686,83.2465050683589,2.836747444044092,"[80.11176159815588, 85.08330486678892, 86.90759951414377, 80.88335429434703]"
new_identifiable_data,ARX_na8_nb5_nk2_alpha0,8,5,2,0.0,89,97.01119145817053,87.15359057107483,81.82653644849722,83.2489718884771,2.844870879959759,"[80.09433435665096, 85.09215996985246, 86.91834317588409, 80.89105005152089]"
new_identifiable_data,ARX_na8_nb5_nk2_alpha0.001,8,5,2,0.001,89,97.01119347084622,87.15357361399249,81.82651144868692,83.24895332353901,2.844883749704207,"[80.09434128867548, 85.09207585424056, 86.91839796810062, 80.89099818313942]"
new_identifiable_data,ARX_na8_nb5_nk2_alpha0.01,8,5,2,0.01,89,97.0112086166906,87.15345796730004,81.8263478267615,83.24882350688357,2.844951360244113,"[80.0944563979559, 85.09147071314347, 86.91875942212992, 80.89060749430497]"
new_identifiable_data,ARX_na8_nb5_nk2_alpha0.1,8,5,2,0.1,89,97.01129100423793,87.1533428532896,81.82629582275511,83.24859915271918,2.8446066599281314,"[80.09673798020872, 85.08970427074163, 86.91928898600032, 80.88866537392605]"
new_identifiable_data,ARX_na3_nb5_nk2_alpha0,3,5,2,0.0,84,97.01133973369176,87.14415350357707,81.82204992767889,83.24147175278405,2.8388436502103205,"[80.09851889307242, 85.07497657207442, 86.9077496406306, 80.88464190535875]"
new_identifiable_data,ARX_na3_nb5_nk2_alpha0.001,3,5,2,0.001,84,97.01134175006038,87.14413488155782,81.82202218102255,83.2414500008911,2.8388556397371283,"[80.09852071004569, 85.07489369589014, 86.9077960927608, 80.8845895048678]"
new_identifiable_data,ARX_na3_nb5_nk2_alpha0.01,3,5,2,0.01,84,97.01135690719444,87.14401003161085,81.82184145364965,83.2412989310978,2.838914954896299,"[80.09860303415537, 85.0743049019935, 86.90809178903429, 80.88419599920803]"
new_identifiable_data,ARX_na3_nb5_nk2_alpha0.1,3,5,2,0.1,84,97.01143882553224,87.1439187706978,81.82176893695767,83.2410193473074,2.838500820699473,"[80.10081017114709, 85.07275801911415, 86.9082365007102, 80.8822726982582]"
new_identifiable_data,ARX_na12_nb5_nk1_alpha0.1,12,5,1,0.1,93,97.01105114802999,87.15386417005524,81.81561271985058,83.25037372424865,2.8695220087961397,"[80.10092355178375, 85.09527620775927, 86.96557119958739, 80.83972393786416]"
new_identifiable_data,ARX_na12_nb5_nk1_alpha0.01,12,5,1,0.01,93,97.01104296846364,87.15273595573503,81.81433688014494,83.24924967648323,2.8698255926765865,"[80.09736867397898, 85.09360584062226, 86.96510138354675, 80.84092280778489]"
new_identifiable_data,ARX_na12_nb5_nk1_alpha0.001,12,5,1,0.001,93,97.01103993208613,87.15249166917509,81.81398675807134,83.24896073569381,2.8699479552449496,"[80.09680830058328, 85.09324608553699, 86.96505801342367, 80.84073054323132]"
new_identifiable_data,ARX_na12_nb5_nk1_alpha0,12,5,1,0.0,93,97.01103850086675,87.15245472461201,81.81393132840196,83.24891553062913,2.8699684044543283,"[80.09673146535799, 85.09319038463606, 86.9650545852566, 80.84068568726588]"
new_identifiable_data,ARX_na12_nb2_nk2_alpha0,12,2,2,0.0,45,97.01130536863704,87.14598161803286,81.81003995296375,83.24207004009526,2.8640601742630163,"[80.05303102503943, 85.13783534680879, 86.90625460285085, 80.87115918568198]"
new_identifiable_data,ARX_na8_nb5_nk1_alpha0.1,8,5,1,0.1,89,97.01128547529818,87.14939293874352,81.80995828049971,83.23876662217067,2.8576166833419303,"[80.10630629089948, 85.09883070015248, 86.9230994425074, 80.8268300551233]"
new_identifiable_data,ARX_na12_nb2_nk2_alpha0.001,12,2,2,0.001,45,97.01130805604188,87.14591623618648,81.80995312038787,83.24198941305298,2.8640725853301983,"[80.05300044109028, 85.13764890026899, 86.90627912908778, 80.87102918176485]"
new_identifiable_data,ARX_na12_nb2_nk2_alpha0.01,12,2,2,0.01,45,97.01132557573516,87.14542400992869,81.80931414084685,83.24138375634442,2.864139230995124,"[80.05273685875677, 85.1363111020725, 86.9063638343485, 80.8701232301999]"
new_identifiable_data,ARX_na8_nb5_nk1_alpha0.01,8,5,1,0.01,89,97.01127804424348,87.14818735877408,81.80863955879522,83.23753653736335,2.8577939571362534,"[80.10270621044168, 85.09699371454649, 86.92234591069966, 80.82810031376557]"
new_identifiable_data,ARX_na8_nb5_nk1_alpha0.001,8,5,1,0.001,89,97.01127536890128,87.14790956254164,81.80826424047767,83.23721083800416,2.85789319505299,"[80.102118140431, 85.09656929595558, 86.92224426725049, 80.82791164837955]"
new_identifiable_data,ARX_na8_nb5_nk1_alpha0,8,5,1,0.0,89,97.01127400914802,87.1478673960714,81.80820484598088,83.2371600949534,2.85791049794504,"[80.10203691352451, 85.09650361871036, 86.92223281028662, 80.82786703729212]"
new_identifiable_data,ARX_na8_nb2_nk2_alpha0,8,2,2,0.0,41,97.01154400767439,87.14403399348463,81.80677092013929,83.23403686859083,2.8545318969030853,"[80.06081243553517, 85.1460420367853, 86.87071996311249, 80.85857303893039]"
new_identifiable_data,ARX_na8_nb2_nk2_alpha0.001,8,2,2,0.001,41,97.0115467283017,87.1439682584673,81.80668478853092,83.23395727135042,2.8545449656389987,"[80.06078220269379, 85.14585555938956, 86.87074795359368, 80.85844336972463]"
new_identifiable_data,ARX_na12_nb2_nk2_alpha0.1,12,2,2,0.1,45,97.01138749826059,87.14304019745515,81.8065818215749,83.23853681044369,2.8639099777375963,"[80.05062720553398, 85.13106853793177, 86.90487408334803, 80.867577414961]"
new_identifiable_data,ARX_na8_nb2_nk2_alpha0.01,8,2,2,0.01,41,97.01156445061294,87.14347368161816,81.80605024745272,83.23335863513256,2.8546167753596894,"[80.06052028455376, 85.14451756160078, 86.87085750736257, 80.85753918701315]"
new_identifiable_data,ARX_na5_nb5_nk2_alpha0,5,5,2,0.0,86,97.0113740791953,87.13056694408724,81.80488412166855,83.22700254010381,2.844236836870514,"[80.066449377031, 85.04908583386279, 86.90903502150273, 80.88343992801875]"
new_identifiable_data,ARX_na5_nb5_nk2_alpha0.001,5,5,2,0.001,86,97.01137610812324,87.13054996538396,81.80485839497484,83.22698258906806,2.8442483881864358,"[80.06645476434811, 85.04900617781142, 86.90908159091674, 80.88338782319593]"
new_identifiable_data,ARX_na5_nb5_nk2_alpha0.01,5,5,2,0.01,86,97.01139139432526,87.13043373522163,81.80468853994343,83.22684089024722,2.844304700607586,"[80.06655741302431, 85.04843385009886, 86.90937699927362, 80.88299529859209]"
new_identifiable_data,ARX_na5_nb5_nk2_alpha0.1,5,5,2,0.1,86,97.01147482362985,87.13032090427588,81.80459945918173,83.22653367712948,2.843868435895491,"[80.06876888033887, 85.04684044523736, 86.90947556481086, 80.88104981813085]"
new_identifiable_data,ARX_na8_nb2_nk2_alpha0.1,8,2,2,0.1,41,97.01162659156077,87.14108668590765,81.80332199404413,83.23053228201863,2.854420575949017,"[80.05839544040703, 85.13927590393963, 86.86947279016107, 80.85498499356682]"
new_identifiable_data,ARX_na12_nb3_nk2_alpha0,12,3,2,0.0,61,97.01118823990335,87.1435568230403,81.80281548619051,83.23405742338649,2.8624838743919647,"[80.09357063120324, 85.11126095514592, 86.91453186592635, 80.81686624127046]"
new_identifiable_data,ARX_na12_nb3_nk2_alpha0.001,12,3,2,0.001,61,97.01118938249871,87.1435387803774,81.80278671263153,83.23403458838868,2.8624957515143143,"[80.09357407377459, 85.11119317808286, 86.91456610100832, 80.81680500068896]"
new_identifiable_data,ARX_na12_nb3_nk2_alpha0.1,12,3,2,0.1,61,97.01124406199102,87.14348693971503,81.80265437955292,83.23385886422275,2.8624089693396595,"[80.09549590732065, 85.10982607674441, 86.9153144215601, 80.81479905126588]"
new_identifiable_data,ARX_na12_nb3_nk2_alpha0.01,12,3,2,0.01,61,97.01119913572917,87.14341045850217,81.80258366014118,83.23386882016221,2.862570320042061,"[80.09365156998483, 85.1106814071714, 86.91481284536601, 80.8163294581266]"
new_identifiable_data,ARX_na8_nb3_nk2_alpha0,8,3,2,0.0,57,97.01143235179711,87.14032538679155,81.7983141180185,83.22417878169246,2.8517293273479165,"[80.0999567190039, 85.11688008240806, 86.87539936020411, 80.80447896515378]"
new_identifiable_data,ARX_na8_nb3_nk2_alpha0.001,8,3,2,0.001,57,97.01143351402555,87.14030627799733,81.79828469842312,83.22415570507016,2.8517420132940816,"[80.09995930626557, 85.11681112334834, 86.87543568943373, 80.80441670123297]"
new_identifiable_data,ARX_na8_nb3_nk2_alpha0.1,8,3,2,0.1,57,97.01148832158735,87.14024163131059,81.79814048405733,83.22401407109442,2.851747174074187,"[80.10185060743574, 85.11546484717488, 86.87639446710445, 80.80234636266258]"
new_identifiable_data,ARX_na8_nb3_nk2_alpha0.01,8,3,2,0.01,57,97.01144341163568,87.14017162608489,81.79807818296229,83.22399049974132,2.8518246335580533,"[80.10003143389484, 85.11629407758035, 86.87570314488326, 80.80393334260685]"
