dataset,model,na,nb,nk,alpha,n_params,val_FIT_1step,val_FIT_sim,val_robust_score,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_block_FIT_sim
old_feedback_data,ARX_na5_nb1_nk2_alpha0,5,1,2,0.0,22,86.06042605760675,68.84107198659022,66.3664534774845,66.84287454922952,0.9528421434900496,"[66.29510314904573, 68.45789670217715, 66.58653102911877, 66.03196731657638]"
old_feedback_data,ARX_na5_nb1_nk2_alpha0.001,5,1,2,0.001,22,86.06042596692168,68.84107127739112,66.36645256054553,66.84287377848565,0.9528424358802661,"[66.29510268402113, 68.45789625214269, 66.58653071989488, 66.03196545788391]"
old_feedback_data,ARX_na5_nb1_nk2_alpha0.01,5,1,2,0.01,22,86.06042515006335,68.84106489451705,66.3664443080613,66.8428668417177,0.9528450673127801,"[66.2950984984775, 68.45789220172105, 66.58652793644453, 66.03194873022773]"
old_feedback_data,ARX_na5_nb1_nk2_alpha0.1,5,1,2,0.1,22,86.06041691293625,68.84100105778361,66.36636178006347,66.84279746694259,0.9528713737582257,"[66.29505661143014, 68.45785168657706, 66.58650005905331, 66.0317815107098]"
old_feedback_data,ARX_na2_nb5_nk2_alpha0.1,2,5,2,0.1,83,86.35179588393804,68.79568347280092,66.34856249410713,66.81190539133998,0.9266857944656894,"[66.34210988939282, 68.39770640058059, 66.44983559299304, 66.05796968239345]"
old_feedback_data,ARX_na2_nb5_nk2_alpha0.01,2,5,2,0.01,83,86.35154450014424,68.7952615436418,66.34802365513423,66.81146065994388,0.9268740096193094,"[66.34122407224045, 68.3974770349353, 66.45020375159854, 66.0569377810012]"
old_feedback_data,ARX_na2_nb5_nk2_alpha0.001,2,5,2,0.001,83,86.35151268899612,68.7952347609668,66.34798501972752,66.81143277346479,0.9268955074745326,"[66.34113504553682, 68.39747104772546, 66.4502923702046, 66.05683263039234]"
old_feedback_data,ARX_na2_nb5_nk2_alpha0,2,5,2,0.0,83,86.35150905791859,68.79523200462326,66.3479809436162,66.81142991116916,0.9268979351059308,"[66.34112514897544, 68.39747062593315, 66.45030294770855, 66.0568209220595]"
old_feedback_data,ARX_na5_nb3_nk2_alpha0.1,5,3,2,0.1,54,86.13029227994492,68.78775686395258,66.30167784493622,66.78492626613183,0.9664968423912289,"[66.36089465829934, 68.42842544711995, 66.41185853338327, 65.93852642572477]"
old_feedback_data,ARX_na5_nb3_nk2_alpha0.01,5,3,2,0.01,54,86.13024237247427,68.7875704096222,66.30121419257331,66.78472226074571,0.9670161363447981,"[66.35998263126925, 68.42899721381413, 66.4124453934289, 65.93746380447058]"
old_feedback_data,ARX_na5_nb3_nk2_alpha0.001,5,3,2,0.001,54,86.13023241428125,68.7875546659334,66.30116902596077,66.78470497196757,0.9670718920135889,"[66.35988939787201, 68.42906278751548, 66.41251503778622, 65.9373526646966]"
old_feedback_data,ARX_na5_nb3_nk2_alpha0,5,3,2,0.0,54,86.13023122876407,68.78755294643861,66.30116401351823,66.78470308292614,0.9670781388158247,"[66.35987901085838, 68.4290701789858, 66.4125228942213, 65.93734024763913]"
old_feedback_data,ARX_na8_nb3_nk2_alpha0.1,8,3,2,0.1,57,86.24199116882114,68.73104705655486,66.22446924037638,66.7310033886141,1.0130682964754485,"[66.24543050232461, 68.46436510758045, 66.31497567372232, 65.899242270829]"
old_feedback_data,ARX_na8_nb3_nk2_alpha0.01,8,3,2,0.01,57,86.24193861959303,68.73065468926438,66.22379821738978,66.73058658529266,1.0135767358057302,"[66.24439597393041, 68.46472096342775, 66.31526036199298, 65.89796904181952]"
old_feedback_data,ARX_na8_nb3_nk2_alpha0.001,8,3,2,0.001,57,86.24192846268987,68.73061789522805,66.22373200120923,66.73054753253484,1.0136310626512324,"[66.24429085508166, 68.46476402001494, 66.31529891308861, 65.89783634195419]"
old_feedback_data,ARX_na8_nb3_nk2_alpha0,8,3,2,0.0,57,86.24192725619699,68.73061383097657,66.22372464610979,66.73054321911428,1.0136371460089872,"[66.2442791524231, 68.46476889697595, 66.31530330469492, 65.8978215223631]"
old_feedback_data,ARX_na12_nb3_nk2_alpha0.1,12,3,2,0.1,61,86.29093945500345,68.75798595791215,66.22044100138774,66.75841515976401,1.0759483167525412,"[66.1460465306102, 68.6067812624084, 66.33453192558932, 65.94630092044815]"
old_feedback_data,ARX_na12_nb3_nk2_alpha0.01,12,3,2,0.01,61,86.29088430498535,68.75751912637912,66.21967678420731,66.75791837059184,1.0764831727690731,"[66.14498022637284, 68.60709528812876, 66.33469958898917, 65.9448983788766]"
old_feedback_data,ARX_na12_nb3_nk2_alpha0.001,12,3,2,0.001,61,86.29087359361203,68.75747425951788,66.21960072246715,66.75787063835347,1.0765398317726236,"[66.14487184537913, 68.60713293747193, 66.3347257285957, 65.94475204196712]"
old_feedback_data,ARX_na12_nb3_nk2_alpha0,12,3,2,0.0,61,86.29087232091823,68.75746928904405,66.21959226597235,66.7578653504976,1.0765461690504983,"[66.14485977914966, 68.60713719482506, 66.3347287303997, 65.94473569761594]"
old_feedback_data,ARX_na8_nb1_nk2_alpha0,8,1,2,0.0,25,86.2081628413418,68.68104535057162,66.1723199646263,66.67473680552786,1.0048336818031134,"[66.08177349965125, 68.38936551267597, 66.35694647840612, 65.87086173137806]"
old_feedback_data,ARX_na8_nb1_nk2_alpha0.001,8,1,2,0.001,25,86.20816278723929,68.68104532251589,66.17231968229075,66.67473675212854,1.004834139675586,"[66.08177360795304, 68.3893661232773, 66.356946700575, 65.87086057670884]"
old_feedback_data,ARX_na8_nb1_nk2_alpha0.01,8,1,2,0.01,25,86.20816229980724,68.68104506960748,66.17231714093577,66.67473627112406,1.004838260376587,"[66.08177458218246, 68.38937161809882, 66.35694869931272, 65.8708501849022]"
old_feedback_data,ARX_na8_nb1_nk2_alpha0.1,8,1,2,0.1,25,86.20815737508691,68.68104250052234,66.17229169450947,66.67473142070173,1.0048794523845297,"[66.0817842766829, 68.38942650805664, 66.35696860972982, 65.87074628833759]"
old_feedback_data,ARX_na5_nb5_nk2_alpha0.1,5,5,2,0.1,86,86.38773784950695,68.60261893084412,66.12283795502904,66.60495477805223,0.9642336460463687,"[66.10531327699218, 68.2553533389244, 66.23379200660683, 65.82536048968551]"
old_feedback_data,ARX_na5_nb5_nk2_alpha0.01,5,5,2,0.01,86,86.38746605549721,68.60200396739148,66.12206666339172,66.60430441681012,0.9644755068368154,"[66.10416876219143, 68.25497986212025, 66.23411500493344, 65.8239540379954]"
