model,na,nb,nk,alpha,n_params,val_FIT_1step,val_FIT_12,val_FIT_sim,val_block_FIT_sim,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_robust_score
ARX_na3_nb3_nk1_alpha0.1,3,3,1,0.1,52,93.09790577009919,90.5779174721939,75.55558761475935,"[77.52959091824701, 63.17680334193715, 83.31996180035217, 84.7867166806007]",77.20326818528426,8.5406503614981,72.9329430045352
ARX_na3_nb3_nk1_alpha0.01,3,3,1,0.01,52,93.09585735329841,90.57945129858257,75.4942078026745,"[77.42118380409534, 63.20006309655637, 83.3612673733055, 84.80128387173835]",77.19594953642388,8.540898988026443,72.92550004241066
ARX_na3_nb3_nk1_alpha0.001,3,3,1,0.001,52,93.09558462139647,90.57955585584368,75.48644608094193,"[77.40697956998748, 63.20400327369096, 83.36578013425226, 84.80317984255721]",77.19498570512198,8.540431088575701,72.92477016083413
ARX_na3_nb3_nk1_alpha0,3,3,1,0.0,52,93.09555325840732,90.57956671632425,75.48555910892041,"[77.40534840238465, 63.204466808237, 83.3662856577476, 84.80339885205022]",77.19487493010487,8.540371261529536,72.9246892993401
ARX_na8_nb8_nk1_alpha0,8,8,1,0.0,137,93.52093991528568,91.2041478236774,69.25311815680386,"[79.84459389320988, 53.3213332367841, 81.46061110306539, 89.52812225009735]",76.03866512078918,13.619152081048748,69.2290890802648
ARX_na8_nb8_nk1_alpha0.001,8,8,1,0.001,137,93.52099029098288,91.20415775574212,69.25256764935604,"[79.8441570727205, 53.32149626435771, 81.4598992248353, 89.52766310703764]",76.0383039172378,13.618869035366425,69.22886939955458
ARX_na8_nb8_nk1_alpha0.01,8,8,1,0.01,137,93.52142520130583,91.20423934668821,69.24776269403779,"[79.84035805327925, 53.32286287717476, 81.45372055202512, 89.5236408336415]",76.03514557903016,13.616422864273318,69.2269341468935
ARX_na8_nb8_nk1_alpha0.1,8,8,1,0.1,137,93.52454505569818,91.2045433621797,69.21129014864009,"[79.81195074329163, 53.33122179399579, 81.4083987270952, 89.49168705819598]",76.01081458064465,13.59853303181278,69.21154806473825
ARX_na5_nb5_nk1_alpha0.1,5,5,1,0.1,86,93.44204732355706,91.13449957517196,70.04433232887732,"[79.17858778324526, 51.97560672971036, 83.14762474496835, 90.1172511966606]",76.10476761364615,14.470800842855562,68.86936719221836
ARX_na5_nb5_nk1_alpha0.01,5,5,1,0.01,86,93.44035322395845,91.13505589797632,70.01631606783228,"[79.13591649748354, 51.97123851929596, 83.10954296023976, 90.12646642212303]",76.08579109978558,14.467969491288422,68.85180635414137
ARX_na5_nb5_nk1_alpha0.001,5,5,1,0.001,86,93.4401199407431,91.13508292349229,70.01318463930694,"[79.13040877722145, 51.9716084330043, 83.10496649235617, 90.12743315146425]",76.08360421351153,14.467204447109872,68.8500019899566
ARX_na5_nb5_nk1_alpha0,5,5,1,0.0,86,93.44009296981328,91.13508546202137,70.01283142975265,"[79.12977636706154, 51.97166273924913, 83.10444550644057, 90.12754109508676]",76.0833564269595,14.46711151021423,68.84980067185238
ARX_na12_nb8_nk1_alpha0,12,8,1,0.0,141,93.50328070856906,91.1659895114749,67.54242619180877,"[79.54810062521322, 52.411349256863225, 80.90974440969678, 88.35345204477765]",75.30566158413772,13.636333874767505,68.48749464675397
ARX_na12_nb8_nk1_alpha0.001,12,8,1,0.001,141,93.50333131521818,91.16599867139257,67.54174939629985,"[79.54771933740224, 52.41145279479878, 80.90891762308189, 88.35282998160751]",75.30522993422261,13.636027012628059,68.48721642790858
ARX_na12_nb8_nk1_alpha0.01,12,8,1,0.01,141,93.50376790149362,91.16607331981501,67.53583046035668,"[79.5443886730967, 52.41229535344463, 80.90173643733533, 88.34737865991526]",75.30144978094798,13.633372581622892,68.48476349013653
ARX_na2_nb2_nk1_alpha0.1,2,2,1,0.1,35,92.3666559868107,88.45757396165111,72.3636620227469,"[68.90603538699446, 75.55347489855035, 68.15117778610174, 67.70317181803408]",70.07846497242016,3.1900931918921316,68.4834183764741
ARX_na12_nb8_nk1_alpha0.1,12,8,1,0.1,141,93.50687940735678,91.16630929176172,67.48980913585665,"[79.51868997519676, 52.4160167755663, 80.84856225574198, 88.30376120314824]",75.27175755241333,13.61391926773802,68.46479791854432
ARX_na2_nb2_nk1_alpha0.01,2,2,1,0.01,35,92.36640115310087,88.45912292933735,72.3245374693103,"[68.85219048361795, 75.61840662381007, 68.12112632071725, 67.6373774064539]",70.0572752086498,3.239714096201339,68.43741816054913
ARX_na2_nb2_nk1_alpha0.001,2,2,1,0.001,35,92.36637027432705,88.45925528856378,72.32037260652918,"[68.84612984259854, 75.62555877523924, 68.11867839402193, 67.63016294394416]",70.05513248895096,3.2450604064422484,68.43260228572984
ARX_na2_nb2_nk1_alpha0,2,2,1,0.0,35,92.36636676747403,88.45926968778979,72.31990675959088,"[68.84544822733878, 75.62636177959519, 68.11841460513067, 67.62935210776568]",70.05489417995757,3.2456593403271854,68.43206450979397
ARX_na12_nb5_nk1_alpha0.1,12,5,1,0.1,93,93.41878631798805,91.08281319493526,65.00759328997646,"[79.09411510535736, 48.1042748025025, 81.26276246009556, 86.78907152075098]",73.8125559721766,15.105513232519835,66.25979935591668
ARX_na12_nb5_nk1_alpha0.01,12,5,1,0.01,93,93.41697529243133,91.0832016140052,64.97895073106199,"[79.05438108924565, 48.11153457196428, 81.21626356585662, 86.7998883030577]",73.79551688253106,15.095560253392955,66.24773675583458
ARX_na12_nb5_nk1_alpha0.001,12,5,1,0.001,93,93.41672561316209,91.08320924891726,64.97568805352726,"[79.04930675174852, 48.11303958855044, 81.21076505357213, 86.8009086178559]",73.79350500293175,15.09402242099888,66.24649379243232
ARX_na12_nb5_nk1_alpha0,12,5,1,0.0,93,93.41669673657374,91.0832095896028,64.97531913982598,"[79.04872483707452, 48.113219489492984, 81.21014046494084, 86.80102062373558]",73.79327635381097,15.093842648159258,66.24635502973133
ARX_na5_nb8_nk1_alpha0,5,8,1,0.0,134,93.45999446122097,91.13671521113773,64.90212607302705,"[78.37670546517245, 49.66291157453742, 78.71213813729382, 85.78865867327778]",73.13510346257037,13.871138731335384,66.19953409690268
ARX_na5_nb8_nk1_alpha0.001,5,8,1,0.001,134,93.46004550712192,91.13672628008067,64.90086613963258,"[78.37593741638013, 49.66278541330909, 78.71068722905726, 85.78751044797013]",73.13423012667916,13.870711850401953,66.19887420147818
ARX_na5_nb8_nk1_alpha0.01,5,8,1,0.01,134,93.4604862895466,91.13681782647323,64.88979066489055,"[78.36920746899472, 49.661546066500605, 78.69802443223205, 85.77740253883327]",73.12654512664015,13.867022609815821,66.19303382173224
ARX_na5_nb8_nk1_alpha0.1,5,8,1,0.1,134,93.46365151807548,91.1372057874116,64.79920258137737,"[78.31540648128754, 49.64394686400729, 78.60010747754822, 85.69330366204174]",73.0631911212212,13.840375295655077,66.14300347339366
ARX_na8_nb5_nk1_alpha0.1,8,5,1,0.1,89,93.43802049276417,91.11022097060894,64.68609071573795,"[79.43396916590375, 46.97264003378102, 80.6944934299225, 86.10298488304939]",73.30102187816416,15.405765246677507,65.59813925482541
ARX_na8_nb5_nk1_alpha0.01,8,5,1,0.01,89,93.43621316381561,91.11054897619064,64.65348949848708,"[79.39627644949839, 46.97813439059032, 80.64242253557971, 86.11007678123627]",73.28172753922617,15.3949106526264,65.58427221291296
ARX_na8_nb5_nk1_alpha0.001,8,5,1,0.001,89,93.4359640330042,91.11054762078051,64.64972260520334,"[79.39148796207624, 46.97941231575378, 80.6361723701185, 86.11060364548855]",73.27941907335926,15.39325224038071,65.5827929531689
ARX_na8_nb5_nk1_alpha0,8,5,1,0.0,89,93.43593522172988,91.11054689131967,64.64929589190567,"[79.39093926443755, 46.979566161391894, 80.63546093409721, 86.11065876767947]",73.27915628190152,15.393058548505444,65.5826270076488
ARX_na8_nb3_nk1_alpha0.1,8,3,1,0.1,57,93.10736992741256,90.7232003976654,62.48320898887159,"[78.01031902738507, 46.424242929759295, 79.31161009060253, 83.53474966551903]",71.82023042831648,14.803919312925998,64.41827077185349
ARX_na8_nb3_nk1_alpha0.01,8,3,1,0.01,57,93.10531087484543,90.72356611300856,62.35516747401056,"[77.89792463988846, 46.45780515808888, 79.09796303809881, 83.5355386688388]",71.74730787622875,14.75113174330009,64.3717420045787
