Timestamp,Temperature,Humidity,Light,Soil_Moisture,Drip,Mist,Fan
2026-06-08 11:30:00,31.4,66.8,780.0,56.9,0,0,0
2026-06-08 11:30:05,31.4,66.7,785.2,56.9,0,0,0
2026-06-08 11:30:10,31.5,66.6,790.4,56.8,0,0,0
2026-06-08 11:45:00,32.0,64.8,850.0,56.5,0,0,1
2026-06-08 11:45:05,31.9,65.0,848.8,56.5,0,0,1
2026-06-08 11:45:10,31.9,65.2,846.1,56.5,0,0,1
2026-06-08 11:50:00,31.8,65.5,832.0,56.4,0,1,0
2026-06-08 11:50:05,31.7,66.2,831.4,56.4,0,1,0
2026-06-08 11:50:10,31.6,66.9,829.0,56.4,0,1,0
2026-06-08 11:50:15,31.5,67.6,826.5,56.4,0,1,0
2026-06-08 11:50:20,31.5,68.0,825.2,56.4,0,0,0
2026-06-08 11:50:35,31.4,68.8,823.0,56.4,0,0,0
